carrier_num,longitude,latitude,signal,synHour,appname_num,destIp_longitude,destIp_latitude,RTT_sum,RTT_median,RTT_average,RTT_std,RTT_stretch_weight,RTT_label
6.0,-12.0,4.0,4.0,14.0,194.0,-12.0,5.0,9,59.0,60.555555555555557,10.19924954876704,0.011725616477406338,0
6.0,-9.0,3.0,4.0,3.0,446.0,-10.0,3.0,23,75.0,76.782608695652172,7.324506344778944,0.01632771997684867,0
6.0,-12.0,4.0,4.0,19.0,168.0,-12.0,4.0,67,75.0,83.179104477611943,27.83904987073917,0.004295853814030565,0
6.0,-12.0,4.0,4.0,19.0,159.0,-9.0,4.0,31,219.0,858.0322580645161,984.7051461051013,0.0010155324199892688,1
25.0,-8.0,3.0,1.0,7.0,0.0,-0.0,-0.0,23,54.0,63.130434782608695,49.3666885995934,0.002422534141112859,0
6.0,-12.0,4.0,4.0,3.0,748.0,11.0,2.0,13,218.0,218.92307692307693,26.27798592698265,0.03805466685227136,1
36.0,-10.0,3.0,4.0,18.0,5.0,-12.0,3.0,10,78.5,77.5,14.968299836654797,0.007989717594602194,0
169.0,-9.0,4.0,4.0,19.0,58.0,-8.0,4.0,6,86.5,91.666666666666671,47.66083880457367,0.002509240113388972,0
89.0,-9.0,4.0,4.0,7.0,86.0,-1.0,5.0,7,187.0,315.57142857142856,332.03134840934916,0.003011763813238312,1
6.0,-12.0,4.0,4.0,18.0,295.0,-12.0,4.0,40,77.5,106.25,93.01498535182382,0.0012857335634021796,0
36.0,-9.0,4.0,4.0,17.0,381.0,-9.0,4.0,22,62.0,65.681818181818187,16.570473092594447,0.007217204234177801,0
36.0,-9.0,4.0,4.0,17.0,218.0,-8.0,4.0,117,60.0,61.692307692307693,16.559894678667895,0.007221814563848553,0
25.0,-9.0,4.0,1.0,20.0,145.0,11.0,2.0,5,46.0,55.399999999999999,17.962182495454165,0.006658015449763313,0
89.0,-10.0,4.0,4.0,22.0,0.0,-0.0,-0.0,292,38.0,53.239726027397261,48.76085123973503,0.002452633322134182,0
36.0,-8.0,4.0,4.0,16.0,49.0,-12.0,5.0,6,86.0,84.5,25.177701774917157,0.004749936655669815,0
6.0,-12.0,4.0,4.0,14.0,108.0,12.0,2.0,19,175.0,182.52631578947367,20.62284992570551,0.048489903364594744,1
6.0,-12.0,4.0,4.0,11.0,27.0,11.0,2.0,6,328.0,345.16666666666669,101.77494234284237,0.009825601243097419,1
332.0,-10.0,3.0,4.0,2.0,181.0,-7.0,4.0,7,291.0,1113.7142857142858,1414.0172472463707,0.0007072049523776179,1
31.0,-10.0,3.0,1.0,23.0,8.0,-12.0,4.0,7,242.0,172.71428571428572,140.84308825854424,0.007100099922293028,1
36.0,-8.0,4.0,3.0,4.0,50.0,-8.0,4.0,10,19.5,22.0,5.272570530585627,0.022682008305523565,0
36.0,-10.0,3.0,4.0,10.0,75.0,1.0,5.0,6,63.5,59.166666666666664,12.772583485297282,0.009363218389127518,0
6.0,-12.0,4.0,4.0,18.0,194.0,-12.0,4.0,40,70.5,122.84999999999999,215.84561033294145,0.004632941102936964,1
6.0,-12.0,4.0,4.0,6.0,88.0,-12.0,3.0,14,96.5,98.285714285714292,14.805542260675663,0.008077548694980678,0
6.0,-12.0,4.0,4.0,22.0,39.0,-12.0,5.0,5,68.0,89.599999999999994,36.3571175975214,0.003289383110347423,0
96.0,-10.0,3.0,4.0,19.0,208.0,-8.0,4.0,12,116.5,119.58333333333333,15.024748102898617,0.007959700072650792,0
25.0,-9.0,3.0,4.0,6.0,152.0,-7.0,4.0,88,50.0,51.522727272727273,7.297224367598572,0.01638876407545057,0
36.0,-7.0,4.0,4.0,23.0,95.0,-8.0,4.0,5,58.0,53.600000000000001,18.488915598271305,0.0064683343882744404,0
70.0,-12.0,4.0,4.0,15.0,327.0,-11.0,4.0,13,112.0,802.23076923076928,1328.975843610187,0.0007524591246771513,1
6.0,-12.0,4.0,4.0,3.0,467.0,-8.0,4.0,11,121.0,206.18181818181819,202.04041818040366,0.004949504703099017,1
6.0,-12.0,4.0,4.0,18.0,344.0,-12.0,5.0,9,60.0,58.222222222222221,7.983006642971581,0.014980883007468604,0
6.0,-12.0,4.0,4.0,20.0,52.0,-12.0,4.0,29,81.0,99.41379310344827,74.21288913119186,0.0016114786793273751,0
6.0,-12.0,4.0,4.0,9.0,70.0,12.0,4.0,224,258.0,357.0625,272.84680687580243,0.003665060300504787,1
25.0,-9.0,4.0,4.0,20.0,0.0,-0.0,-0.0,146,72.5,80.465753424657535,18.34045023556702,0.006520695349903694,0
6.0,-12.0,4.0,4.0,20.0,1458.0,-8.0,4.0,13,121.0,131.0,26.952950459301082,0.004437083381531326,0
68.0,-12.0,3.0,4.0,1.0,179.0,-12.0,5.0,5,101.0,287.19999999999999,392.397451571745,0.0025484365303457186,1
36.0,-9.0,4.0,4.0,16.0,5.0,-12.0,4.0,17,44.0,42.941176470588232,7.541809645805441,0.015857266913746122,0
