netType_num,carrier_num,longitude,latitude,speed,signal,synHour,appname_num,destIp_longitude,destIp_latitude,RTT_sum,RTT_median,RTT_average,RTT_weight_stretch,RTT_label
2,36,-9,4,-1,4,4,0,-8,4,4665,43,74.34383708,0.000944333,0
2,6,-12,4,-1,4,11,22,-11,3,3677,58,67.55860756,0.001740023,0
2,6,-12,4,-1,4,11,22,-11,3,3677,58,67.55860756,0.001740023,0
2,36,-9,4,-1,4,4,0,-8,4,4665,43,74.34383708,0.000944333,0
2,6,-12,4,-1,4,12,22,-11,3,2493,58,68.20497393,0.001886398,0
2,6,-12,4,-1,4,23,22,-11,3,2410,63,77.90165975,0.001210364,0
2,6,-12,4,-1,4,17,22,-11,3,2394,59,68.24143693,0.002029852,0
2,6,-12,4,-1,4,9,0,-12,3,2227,74,107.3322856,0.000673723,0
2,6,-12,4,-1,4,9,0,-12,3,2227,74,107.3322856,0.000673723,0
2,6,-12,4,-1,4,8,22,-11,3,1699,62,72.55679812,0.001914689,0
2,6,-12,4,-1,4,23,0,-12,3,1926,76,122.2912773,0.000584538,0
2,36,-9,4,-1,4,14,0,-8,4,1880,53,137.1617021,0.000436994,0
2,332,-10,3,-1,4,5,46,-12,5,1702,109,121.367215,0.001890728,0
2,36,-9,4,-1,4,14,0,-8,4,1880,53,137.1617021,0.000436994,0
2,6,-12,4,-1,4,2,0,-12,3,1648,80,119.8294903,0.000750491,0
2,6,-12,4,-1,4,12,0,-12,3,1620,72,110.9290123,0.000689344,0
2,6,-12,4,-1,4,21,0,-12,3,1610,80,118.6993789,0.000755982,0
2,36,-9,4,-1,4,17,0,-8,4,1576,45,115.9904822,0.000281665,0
2,6,-12,4,-1,4,18,0,-12,3,1548,73,146.8133075,0.000259974,0
2,36,-9,4,-1,4,2,0,-8,4,1528,59,122.8442408,0.000429804,0
2,36,-9,4,-1,4,1,0,-8,4,1508,53,146.0066313,0.00030368,0
2,6,-12,4,-1,4,16,0,-12,3,1448,72,112.3915746,0.000613458,0
2,6,-12,4,-1,4,15,22,-11,3,1414,62,79.5,0.001235923,0
2,332,-10,3,-1,4,5,46,-12,5,1702,109,121.367215,0.001890728,0
2,6,-12,4,-1,4,19,22,-11,3,1397,61,69.93843951,0.002724724,0
2,6,-12,4,-1,4,7,22,-11,3,1390,60,67.41366906,0.003456995,0
2,6,-12,4,-1,4,7,22,-11,3,1390,60,67.41366906,0.003456995,0
2,6,-12,4,-1,4,10,0,-12,3,1374,74,110.9257642,0.000738504,0
2,6,-12,4,-1,4,0,0,-12,3,1355,75,110.802214,0.000817618,0
2,6,-12,4,-1,4,10,0,-12,3,1374,74,110.9257642,0.000738504,0
2,6,-12,4,-1,4,1,0,-12,3,1291,74,98.91092177,0.000952464,0
2,6,-12,4,-1,4,22,0,-12,3,1323,77,120.6923658,0.000715007,0
2,6,-12,4,-1,4,9,22,-11,3,1302,59,69.5875576,0.001308273,0
2,6,-12,4,-1,4,9,22,-11,3,1302,59,69.5875576,0.001308273,0
2,6,-12,4,-1,4,22,0,-12,3,1323,77,120.6923658,0.000715007,0
2,36,-9,4,-1,4,19,0,-8,4,1296,50,138.6851852,0.000400013,0
2,6,-12,4,-1,4,14,0,-12,3,1294,75,126.9119011,0.000570102,0
2,6,-12,4,-1,4,1,0,-12,3,1291,74,98.91092177,0.000952464,0
2,6,-12,4,-1,4,15,0,-12,3,1222,73,108.804419,0.000760254,0
2,36,-9,4,-1,4,3,0,-8,4,1217,49,107.2366475,0.000482893,0
2,6,-12,4,-1,4,20,0,-12,3,1198,82,151.6235392,0.000526432,0
2,6,-12,4,-1,4,19,0,-12,3,1140,79.5,131.1166667,0.00065068,0
2,6,-12,4,-1,4,19,0,-12,3,1140,79.5,131.1166667,0.00065068,0
2,36,-9,4,-1,4,16,0,-8,4,1136,39,73.10299296,0.00054709,0
2,36,-9,4,-1,4,16,0,-8,4,1136,39,73.10299296,0.00054709,0
2,36,-9,4,-1,4,16,0,-8,4,1136,39,73.10299296,0.00054709,0
2,68,-12,4,-1,4,17,0,-12,4,1095,51,180.7497717,0.001524459,1
2,36,-9,4,-1,4,3,0,-8,4,1217,49,107.2366475,0.000482893,0
2,68,-12,4,-1,4,19,0,-12,4,1080,179,309.2472222,0.00284477,1
2,68,-12,4,-1,4,19,0,-12,4,1080,179,309.2472222,0.00284477,1
2,6,-12,4,-1,4,4,0,-12,3,1028,77,115.7859922,0.000789748,0
2,6,-12,4,-1,4,23,88,-12,5,997,65,71.57572718,0.004139614,0
2,6,-12,4,-1,4,21,22,-11,3,995,62,97.97286432,0.000524794,0
2,6,-12,4,-1,4,1,22,-11,3,970,60,73.47731959,0.001181392,0
2,6,-12,4,-1,4,11,22,11,2,969,379,964.8194014,0.000962715,1
2,68,-12,4,-1,4,19,0,-12,4,1080,179,309.2472222,0.00284477,1
2,6,-12,4,-1,4,6,22,-11,3,956,66,88.71548117,0.000956899,0
2,36,-9,4,-1,4,14,98,-8,4,928,53,181.0851293,0.002206355,1
2,6,-12,4,-1,4,15,0,-12,3,1222,73,108.804419,0.000760254,0
2,36,-8,4,-1,4,4,0,-8,4,854,69,119.4051522,0.00076499,0
2,6,-12,4,-1,4,12,22,11,2,819,395,978.5946276,0.000942788,1
2,36,-8,4,-1,4,4,0,-8,4,854,69,119.4051522,0.00076499,0
2,6,-12,4,-1,4,8,0,-12,3,804,75,114.5820896,0.000688846,0
2,68,-12,3,-1,4,3,0,-12,4,804,74.5,112.3893035,0.000426862,0
2,25,-9,3,-1,4,20,0,0,0,799,52,95.35043805,0.00036815,0
2,6,-12,4,-1,4,3,0,-12,3,780,88,138.4628205,0.00057716,0
2,36,-8,3,-1,4,0,0,-8,4,744,52,74.09543011,0.001297518,0
2,6,-12,4,-1,4,13,0,-12,3,736,73,111.6589674,0.000642116,0
2,36,-9,4,-1,4,4,16,-8,4,735,42,55.70612245,0.001558156,0
2,36,-9,4,-1,4,4,16,-8,4,735,42,55.70612245,0.001558156,0
2,36,-10,3,-1,4,3,0,-8,4,722,44,58.72437673,0.001338814,0
2,36,-10,3,-1,4,3,0,-8,4,722,44,58.72437673,0.001338814,0
2,36,-10,3,-1,4,22,0,-8,4,704,51,61.70454545,0.001714731,0
2,36,-9,4,-1,4,4,98,-8,4,729,39,48.32784636,0.002625002,0
2,68,-12,4,-1,4,1,0,-12,4,679,52,195.2341679,0.001656193,1
2,68,-12,4,-1,4,1,0,-12,4,679,52,195.2341679,0.001656193,1
2,332,-10,3,-1,4,4,46,-12,5,672,109,122.641369,0.002253036,0
2,6,-12,4,-1,4,3,0,-12,3,780,88,138.4628205,0.00057716,0
2,68,-9,4,-1,4,0,0,-9,4,601,39,102.750416,0.000279005,0
2,70,-12,4,-1,4,21,0,-12,4,599,46,106.457429,0.000207357,0
2,68,-9,4,-1,4,0,0,-9,4,601,39,102.750416,0.000279005,0
2,6,-12,4,-1,4,23,22,11,2,594,248,446.8451178,0.001896094,1
2,70,-12,4,-1,4,19,0,-12,4,561,45,210.9786096,0.001049206,1
2,36,-8,4,-1,4,21,384,-12,4,592,82,148.5084459,0.0005603,0
2,6,-12,4,-1,4,4,22,-11,3,590,65,80.92711864,0.001354006,0
2,68,-12,4,-1,4,19,47,6,0,584,74,97.71746575,0.000977828,0
2,68,-12,4,-1,4,19,47,6,0,584,74,97.71746575,0.000977828,0
2,68,-12,4,-1,4,22,0,-12,4,583,156,889.6140652,0.000677769,1
2,36,-9,4,-1,4,14,98,-7,4,579,44,133.4352332,0.000243696,0
2,68,-12,4,-1,4,23,0,-12,4,569,46,254.5307557,0.00099992,1
2,36,-9,4,-1,4,14,98,-7,4,579,44,133.4352332,0.000243696,0
2,36,-9,4,-1,4,18,0,-8,4,548,88,212.6952555,0.002236294,1
2,70,-12,3,-1,4,2,0,-12,3,548,46,98.05109489,0.000302536,0
2,68,-12,4,-1,4,18,0,-12,4,545,133,1209.814679,0.000217737,1
2,68,-12,4,-1,4,18,0,-12,4,545,133,1209.814679,0.000217737,1
2,36,-9,4,-1,4,20,0,-8,4,542,58.5,140.4833948,0.000452517,0
2,36,-9,4,-1,4,15,98,-8,4,536,45,118.0018657,0.000337923,0
2,25,-8,3,-1,1,5,0,0,0,535,56,62.50280374,0.0047915,0
2,36,-9,4,-1,4,16,33,-8,4,520,36,43.30192308,0.003692154,0
2,36,-9,4,-1,4,16,33,-8,4,520,36,43.30192308,0.003692154,0
2,189,-9,4,-1,4,2,0,-8,4,509,49,128.3614931,0.000308574,0
2,189,-9,4,-1,4,2,0,-8,4,509,49,128.3614931,0.000308574,0
2,89,-12,4,-1,1,0,0,-8,4,469,78,101.8081023,0.001356348,0
2,68,-10,4,-1,4,17,46,-12,5,494,85,85.27327935,0.001806208,0
2,68,-10,4,-1,4,17,46,-12,5,494,85,85.27327935,0.001806208,0
2,68,-12,4,-1,4,2,0,-12,4,485,41,124.5793814,0.000209984,0
2,68,-10,4,-1,4,2,46,-12,5,469,85,87.1108742,0.003240565,0
2,68,-10,4,-1,4,2,46,-12,5,469,85,87.1108742,0.003240565,0
2,36,-8,4,-1,4,12,0,-8,4,468,34,79.01709402,0.000383629,0
2,36,-8,4,-1,4,12,0,-8,4,468,34,79.01709402,0.000383629,0
2,36,-12,3,-1,4,12,0,-8,4,467,42,55.61670236,0.002106996,0
2,6,-12,4,-1,4,21,88,-12,4,462,79.5,135.5649351,0.000318146,0
2,36,-9,4,-1,4,21,0,-8,4,450,71,188.0555556,0.003810494,1
2,6,-12,4,-1,4,7,22,11,2,449,347,872.0111359,0.001018374,1
2,6,-12,4,-1,4,21,70,12,4,448,248,294.0915179,0.006811827,1
2,6,-12,4,-1,4,21,70,12,4,448,248,294.0915179,0.006811827,1
2,6,-12,4,-1,4,7,22,11,2,449,347,872.0111359,0.001018374,1
2,68,-9,4,-1,4,6,0,-9,4,444,43.5,137.018018,0.000212946,0
2,70,-12,4,-1,4,18,0,-12,4,445,67,217.5303371,0.002252646,1
2,6,-12,4,-1,4,18,22,11,2,427,400,932.2599532,0.001012035,1
2,36,-10,3,-1,4,10,0,-8,4,425,141,200.7623529,0.005901488,1
2,70,-12,4,-1,4,3,0,-12,4,421,51,451.871734,0.000978983,1
2,70,-12,4,-1,4,3,0,-12,4,421,51,451.871734,0.000978983,1
2,36,-10,3,-1,4,10,0,-8,4,425,141,200.7623529,0.005901488,1
2,68,-10,4,-1,4,15,46,-12,5,410,85,88.18780488,0.00259463,0
2,68,-10,4,-1,4,15,46,-12,5,410,85,88.18780488,0.00259463,0
2,6,-12,4,-1,4,21,88,-8,4,398,135,196.8417085,0.004217153,1
2,25,-8,3,-1,1,4,0,0,0,396,55,63.11616162,0.003008398,0
2,36,-9,4,-1,4,2,16,-8,4,393,55,74.17302799,0.001176545,0
2,70,-12,4,-1,4,4,0,-12,4,391,44,167.5856777,0.001792958,1
2,36,-9,4,-1,4,13,0,-8,4,390,54.5,1613.707692,0.000119615,1
2,36,-10,3,-1,4,10,0,-8,4,425,141,200.7623529,0.005901488,1
2,6,-12,4,-1,4,22,88,-12,5,387,62,71.10852713,0.001748162,0
2,36,-8,4,-1,4,11,0,-8,4,382,101,170.4031414,0.006058812,1
2,36,-9,4,-1,4,0,0,-8,4,382,39,93.59424084,0.000391772,0
2,36,-9,4,-1,4,23,98,-8,4,382,75,155.117801,0.000513468,0
2,70,-12,3,-1,4,4,0,-12,3,381,57,148.3097113,0.000156607,0
2,89,-12,3,-1,4,15,0,0,0,378,33,55.11375661,0.00180062,0
2,36,-10,3,-1,4,17,0,-8,4,377,45,74.02122016,0.000877831,0
2,6,-12,4,-1,4,21,22,11,2,376,287.5,629.3351064,0.001186352,1
2,6,-12,4,-1,4,8,22,11,2,375,393,1070.16,0.000888334,1
2,6,-12,4,-1,4,6,22,11,2,375,402,863.568,0.001056597,1
2,6,-12,4,-1,4,21,22,11,2,376,287.5,629.3351064,0.001186352,1
2,89,-12,3,-1,4,13,0,0,0,375,32,63.79466667,0.001277729,0
2,68,-12,3,-1,4,1,0,-12,4,375,47,115.288,0.000199614,0
2,89,-10,4,-1,4,21,0,0,0,372,41,63.2688172,0.000942756,0
2,68,-12,3,-1,4,8,0,-12,4,363,49,127.0688705,0.000222041,0
2,89,-9,3,-1,4,22,0,0,0,368,38,47.60326087,0.002368196,0
2,89,-9,3,-1,4,22,0,0,0,368,38,47.60326087,0.002368196,0
2,70,-12,3,-1,4,3,0,-12,3,365,52,78.69589041,0.001143253,0
2,85,-12,5,-1,4,19,0,-8,4,360,50,91.45,0.000661819,0
2,85,-12,5,-1,4,19,0,-8,4,360,50,91.45,0.000661819,0
2,36,-12,3,-1,4,12,366,-12,4,352,41,49.00852273,0.003682603,0
2,6,-12,4,-1,4,0,22,11,2,357,249,437.1960784,0.001914461,1
2,6,-12,4,-1,4,10,70,12,4,355,256,350.9267606,0.003151593,1
2,6,-12,4,-1,4,10,70,12,4,355,256,350.9267606,0.003151593,1
2,6,-12,4,-1,4,0,22,11,2,357,249,437.1960784,0.001914461,1
2,70,-12,3,-1,4,3,0,-12,3,365,52,78.69589041,0.001143253,0
2,6,-12,4,-1,4,7,88,-12,4,349,85,98.21489971,0.001525127,0
2,25,-8,3,-1,0,5,0,0,0,348,54.5,58.66954023,0.005645605,0
2,6,-12,4,-1,4,16,22,11,2,345,1213,1203.104348,0.000862852,1
2,25,-8,3,-1,0,5,0,0,0,348,54.5,58.66954023,0.005645605,0
2,6,-12,4,-1,4,7,88,-12,4,349,85,98.21489971,0.001525127,0
2,6,-12,4,-1,4,7,88,-12,4,349,85,98.21489971,0.001525127,0
2,36,-9,4,-1,4,21,207,-12,4,338,96,421.5769231,0.001112969,1
2,70,-7,4,-1,4,18,0,-8,4,430,55,81.9,0.000932823,0
2,36,-8,4,-1,4,5,0,-8,4,333,67,93.62462462,0.001032274,0
2,36,-8,4,-1,4,5,0,-8,4,333,67,93.62462462,0.001032274,0
2,6,-12,4,-1,4,20,22,-11,3,332,58,100.8584337,0.000453583,0
2,68,-10,4,-1,4,22,0,-10,4,331,33,37.90634441,0.004152399,0
